company_id,company_name,careers_url,old_ats_provider,reason
624,Sharkmob,https://sharkmob.com,ashby,resolver_no_match
628,Sessions,https://sessions.co.uk/,teamtailor,resolver_no_match
642,Aztec,https://aztec.network/,greenhouse,resolver_no_match
653,Kepler Interactive,https://kepler-interactive.com/,teamtailor,resolver_no_match
654,Tallarium,https://www.tallarium.com/,lever,resolver_no_match
660,Thought Machine,https://www.thoughtmachine.net,smartrecruiters,resolver_no_match
665,Hanson Wade Group,https://hansonwadegroup.com/,smartrecruiters,resolver_no_match
675,Simply Business,https://www.simplybusiness.co.uk/,lever,resolver_no_match
684,Freshworks,https://www.freshworks.com/,smartrecruiters,resolver_no_match
690,flatfair,https://flatfair.co.uk/,smartrecruiters,resolver_no_match
692,Backbase,https://www.backbase.com/,greenhouse,resolver_no_match
696,Bolt,https://bolt.eu/,teamtailor,resolver_no_match
697,Deskpro,https://www.deskpro.com/,teamtailor,resolver_no_match
701,Kegstar,https://kegstar.com/,greenhouse,resolver_no_match
709,University of Bath,https://www.bath.ac.uk/,greenhouse,resolver_no_match
716,Featurespace,https://www.featurespace.com/,greenhouse,resolver_no_match
726,Volt,https://www.volt.io/,smartrecruiters,resolver_no_match
743,Shopify,https://www.shopify.com/uk,smartrecruiters,resolver_no_match
762,Legl,https://legl.com/,teamtailor,resolver_no_match
793,JOB TODAY,https://jobtoday.com/gb,smartrecruiters,resolver_no_match
797,Dyson,https://dyson.com,smartrecruiters,resolver_no_match
805,OpenGamma,https://opengamma.com/,greenhouse,resolver_no_match
808,Context,https://context.ai/,ashby,resolver_no_match
814,Globacap,https://globacap.com/,teamtailor,resolver_no_match
821,Antavo,https://antavo.com/,teamtailor,resolver_no_match
824,Mojo Mortgages,https://mojomortgages.com/,teamtailor,resolver_no_match
825,Capital One,https://www.capitalone.co.uk/,teamtailor,resolver_no_match
826,Sky,https://sky.com,smartrecruiters,resolver_no_match
829,Method,https://www.method.com/,greenhouse,resolver_no_match
836,Moody's,https://www.moodys.com/,smartrecruiters,resolver_no_match
842,zeroheight,https://zeroheight.com/,smartrecruiters,resolver_no_match
848,Squire Technologies,https://www.squire-technologies.co.uk/,smartrecruiters,resolver_no_match
863,Influencer,https://www.influencer.com/,teamtailor,resolver_no_match
868,University of Oxford,https://www.ox.ac.uk/,greenhouse,resolver_no_match
869,GLMX,https://www.glmx.com/,greenhouse,resolver_no_match
876,Lightyear,https://lightyear.com/gb,smartrecruiters,resolver_no_match
881,Unmade,https://www.unmade.com/,teamtailor,resolver_no_match
920,Phasecraft,https://www.phasecraft.io/,teamtailor,resolver_no_match
925,Better Origin,https://betterorigin.co.uk/,workable,resolver_no_match
928,NetJets,https://www.netjets.com/,smartrecruiters,resolver_no_match
932,Credit Benchmark,https://www.creditbenchmark.com/,smartrecruiters,resolver_no_match
946,Impala,https://impala.travel/,teamtailor,resolver_no_match
951,Inflection,https://inflection.ai/,smartrecruiters,resolver_no_match
959,Sonovate,https://www.sonovate.com/,teamtailor,resolver_no_match
962,Isla,https://isla.health/,teamtailor,resolver_no_match
968,Cognizant,https://www.cognizant.com/,smartrecruiters,resolver_no_match
972,Emitwise,https://emitwise.com,lever,resolver_no_match
977,Amnesty International,https://www.amnesty.org/,smartrecruiters,resolver_no_match
1015,Refeyn,https://www.refeyn.com/,greenhouse,resolver_no_match
1033,Beauty Pie,https://www.beautypie.com/,smartrecruiters,resolver_no_match
1058,techUK,https://www.techuk.org/,smartrecruiters,resolver_no_match
1062,Mission Zero Technologies,https://www.missionzero.tech/,smartrecruiters,resolver_no_match
1065,Capitolis,https://capitolis.com/,greenhouse,resolver_no_match
1068,Atlassian,https://www.atlassian.com/,lever,resolver_no_match
1069,TransferRoom,https://www.transferroom.com/,teamtailor,resolver_no_match
1074,GuestReady,https://www.guestready.com/,teamtailor,resolver_no_match
1078,Bloom & Wild,https://www.bloomandwild.com/,greenhouse,resolver_no_match
1084,Pact Coffee,https://www.pactcoffee.com/,teamtailor,resolver_no_match
1088,Talogy,https://www.talogy.com/,smartrecruiters,resolver_no_match
1090,Noda,https://noda.live/,teamtailor,resolver_no_match
1107,Artlogic,https://artlogic.net/,greenhouse,resolver_no_match
1154,Nourished,https://get-nourished.com/,smartrecruiters,resolver_no_match
1156,Pasta Evangelists,https://pastaevangelists.com,teamtailor,resolver_no_match
1187,Oxa,https://oxa.tech/,teamtailor,resolver_no_match
1205,Koru Kids,https://www.korukids.co.uk/,smartrecruiters,resolver_no_match
1215,Adzuna,https://www.adzuna.co.uk/,smartrecruiters,resolver_no_match
1216,WNS,https://www.wns.com/,smartrecruiters,resolver_no_match
1217,Captify,https://www.captifytechnologies.com/,smartrecruiters,resolver_no_match
1222,Roli,https://roli.com/,teamtailor,resolver_no_match
1229,Universal Quantum,https://universalquantum.com/,teamtailor,resolver_no_match
1235,Huboo,https://www.huboo.com/,teamtailor,resolver_no_match
1247,Papaya,https://papayadash.com/,greenhouse,resolver_no_match
1254,Zaptic,https://zaptic.com/,teamtailor,resolver_no_match
1256,Sonos,https://www.sonos.com/en-gb/home,smartrecruiters,resolver_no_match
1259,Sage,https://www.sage.com/en-gb/,greenhouse,resolver_no_match
1263,Currencycloud,https://www.currencycloud.com/,smartrecruiters,resolver_no_match
1272,Thingtrax,https://thingtrax.com/,teamtailor,resolver_no_match
1279,Zeal,https://www.zeal.app/,teamtailor,resolver_no_match
1280,Token,https://token.io/,lever,resolver_no_match
1296,ClimeTrek,https://climetrek.com/,ashby,resolver_no_match
1298,SSE,https://www.sse.com/,smartrecruiters,resolver_no_match
1311,Unibuddy,https://unibuddy.com/,teamtailor,resolver_no_match
1315,Elvie,https://www.elvie.com/,greenhouse,resolver_no_match
1320,ev.energy,https://www.ev.energy/,smartrecruiters,resolver_no_match
1335,Homebox,https://www.homebox.co.uk/,teamtailor,resolver_no_match
1336,Starling Bank,https://www.starlingbank.com/,teamtailor,resolver_no_match
1346,Napier AI,https://www.napier.ai/,smartrecruiters,resolver_no_match
1352,Instanda,https://instanda.com/,teamtailor,resolver_no_match
1366,Brsk,https://www.brsk.co.uk/,teamtailor,resolver_no_match
1369,Revalue,https://revalue.earth,teamtailor,resolver_no_match
1373,DNA Payments,https://www.dnapayments.com/,teamtailor,resolver_no_match
1377,Cynergy Bank,https://www.cynergybank.co.uk/,smartrecruiters,resolver_no_match
1405,Ampersand Partners,https://www.ampersand.partners/,greenhouse,resolver_no_match
1415,AviadoBio,https://aviadobio.com/,workable,resolver_no_match
1428,Seat Unique,https://www.seatunique.com/,smartrecruiters,resolver_no_match
1435,Resolution Therapeutics,https://resolution-tx.com/,smartrecruiters,resolver_no_match
1464,Medefer,https://medefer.com/,teamtailor,resolver_no_match
1467,Gresham House,https://greshamhouse.com/,smartrecruiters,resolver_no_match
1480,Omeda Studios,https://omedastudios.com/,teamtailor,resolver_no_match
1503,The Thinking Traveller,https://www.thethinkingtraveller.com/,teamtailor,resolver_no_match
