company_id,trading_name,url
1461,Quintain,https://www.quintain.co.uk/
1462,Tymit,https://tymit.com/
1463,Kennek,https://kennek.io/
1471,Papier,https://www.papier.com/
1472,Plastic Energy,https://plasticenergy.com/
1481,Gridworks,https://gridworkspartners.com/
1493,Invstr,https://invstr.com/
1498,Supply@Me,https://www.supplymecapital.com/
1500,Buster + Punch,https://www.busterandpunch.com/
1508,Kilter Finance,https://kilterfinance.com/
1512,Molten Ventures,https://www.moltenventures.com/
1514,Evonetix,https://www.evonetix.com/
1519,Trip,https://drink-trip.com/
1520,GiantX,https://giantx.gg/
1521,ChargedUp,https://www.chargedup.green/
1534,Bumblebee Power,https://bumblebeepower.com/
1549,iota Sciences,https://iotasciences.com/
1556,ONI,https://oni.bio/
1564,Theolytics,https://www.theolytics.com/
1565,Wayland Additive,https://www.waylandadditive.com/
1567,ZiO Health,https://www.zio-health.com/
1568,NetPurpose,https://www.netpurpose.com/
1570,FundamentalVR,https://fundamentalsurgery.com/
1583,Isio,https://www.isio.com/
1593,OpenBet,https://www.openbet.com/
1596,Macmillan,https://www.macmillan.org.uk/
1607,Delinian,https://www.delinian.com/
1614,Telegraph,https://www.telegraph.co.uk/
1643,All3Media,https://all3media.com/
1649,Creation,https://www.creation.co.uk/
1650,Thorogood,https://www.thorogood.com/
1651,Bacsol,https://www.bacsol.co.uk/
1675,Poli,https://withpoli.com
1720,Tortoise Media,https://www.tortoisemedia.com
1721,ENSEK,https://ensek.com/
1741,Pion,https://www.wearepion.com/
1759,Zepz,https://zepzpay.com/
1761,Zoopla,https://www.zoopla.co.uk/
1763,CreateFuture,https://createfuture.com/
1811,Binks,https://binks.com
1812,InsurX,https://www.insurxglobal.com/
1822,Envevo,http://www.envevo.co.uk
1830,HVS,https://www.hvs.com/
1833,Precept Finance,https://preceptfinance.co.uk
1834,Superbeam,https://www.superbeam.agency
1836,BMC Helix,https://www.helixops.ai
1837,Collington Capital,https://collingtoncapital.com
1842,InCred Global Wealth,https://incredwealth.uk
1844,LSR Partners,https://lsrpartners.com
1846,Nonwovenn,https://nonwovenn.com
1847,TGP International,https://www.tgpinternational.com
1848,wamo,https://wamo.io
1851,A Squared Engineering,https://asquaredengineering.com
1853,HOOKE London,https://www.hooke.london
1861,S Squared Insights,https://www.ssquaredinsights.com
1863,Tadley Engineering,https://www.tadleyengineering.co.uk
1868,Silvercat,https://silvercat.com
1874,Hartford Care,https://hartfordcare.co.uk
1875,Kanou Capital,https://www.kanoucap.com
1881,AmaranthLabs,https://amaranthlabs.co.uk
1883,Ballintaggart,https://ballintaggart.com
1884,Xinix,https://xinix.co.uk
1885,Firmament,https://firmament.com
1900,Assisi Pet Care,https://assisipetcare.com
1901,C5 Capital,https://www.c5capital.com/
1903,FaultFixers,https://www.faultfixers.com
1904,Kingsbury,https://kingsburyuk.com
1905,Grant Saw Solicitors LLP,https://grantsaw.com
1908,Stenton Obhi Architects,https://www.so-architects.co.uk
1909,UrbanTide,https://urbantide.com
1912,De Digitizers,https://dedigitizers.com
1915,Fairhill Solicitors,https://www.fairhilllawyers.com
1916,Fifth Row Technologies,https://www.fifthrowtech.com
1917,Galvan,https://www.galvanlondon.com/
1919,Good With,https://goodwith.co
1920,Gran Lab,https://www.granlab.co
